1308908369126|-1||debug||com.p6spy.engine.common.P6SpyOptions reloading properties
12:39:29:133|-1||info||Using properties file: D:\myProjects\OnlineCAD\source\OnlineCADModelLayer\target\classes\spy.properties
12:39:29:133|-1||info||No value in environment for: getAppender, using: com.p6spy.engine.logging.appender.Log4jLogger
12:39:29:133|-1||info||No value in environment for: getDeregisterDrivers, using: true
12:39:29:133|-1||info||No value in environment for: getUsePrefix, using: false
12:39:29:133|-1||info||No value in environment for: getExecutionThreshold, using: 0
12:39:29:133|-1||info||No value in environment for: getAutoflush, using: true
12:39:29:134|-1||info||No value in environment for: getExclude, using: 
12:39:29:134|-1||info||No value in environment for: getExcludecategories, using: info,debug,batch,result
12:39:29:134|-1||info||No value in environment for: getInclude, using: 
12:39:29:134|-1||info||No value in environment for: getIncludecategories, using: 
12:39:29:134|-1||info||No value in environment for: getLogfile, using: spy.log
12:39:29:134|-1||info||No value in environment for: getRealdriver, using: com.mysql.jdbc.Driver
12:39:29:134|-1||info||No value in environment for: getRealdriver2, using: 
12:39:29:134|-1||info||No value in environment for: getRealdriver3, using: 
12:39:29:134|-1||info||No value in environment for: getAppend, using: true
12:39:29:134|-1||info||No value in environment for: getSpydriver, using: com.p6spy.engine.spy.P6SpyDriver
12:39:29:134|-1||info||No value in environment for: getDateformat, using: HH:mm:ss:SSS
12:39:29:134|-1||info||No value in environment for: getDateformatter, using: java.text.SimpleDateFormat@85c6b2f9
12:39:29:135|-1||info||No value in environment for: getStringmatcher, using: com.p6spy.engine.common.SubstringMatcher
12:39:29:135|-1||info||No value in environment for: getStringMatcherEngine, using: com.p6spy.engine.common.SubstringMatcher@92b1a1
12:39:29:135|-1||info||No value in environment for: getStackTraceClass, using: 
12:39:29:135|-1||info||No value in environment for: getSQLExpression, using: null
12:39:29:135|-1||info||No value in environment for: getReloadProperties, using: false
12:39:29:135|-1||info||No value in environment for: getReloadPropertiesInterval, using: 60
12:39:29:135|-1||info||No value in environment for: getJNDIContextFactory, using: null
12:39:29:135|-1||info||No value in environment for: getJNDIContextProviderURL, using: null
12:39:29:135|-1||info||No value in environment for: getJNDIContextCustom, using: null
12:39:29:135|-1||info||No value in environment for: getRealDataSource, using: null
12:39:29:135|-1||info||No value in environment for: getRealDataSourceClass, using: null
12:39:29:135|-1||info||No value in environment for: getRealDataSourceProperties, using: null
12:39:29:136|-1||info||No value in environment for: getStackTrace, using: false
12:39:29:136|-1||info||No value in environment for: getFilter, using: true
